PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
YLABEL[amount of money], XLABEL[continents], T1AY[higher education], T1AB[2010], XHIGHEST[Asia], YHIGHESTAPPROX[300], YMAG[million], YUNIT[dollars], XLEAST[Africa], YLEAST[50], YMAG[million], YUNIT[dollars]	The graph shows us the amount of money various continents spent on higher education in 2010 . Asia spent the most at just over 300 million dollars with Africa spending the least at 50 million dollars .
PLOTTITLE[subject that Lagos State University choose to study], XLABEL[subject], XHIGHEST[Medicine], XSECOND[philosophy], XTHIRD[literature], XLEAST[STEM]	Here is a chart about the subject that Lagos State University choose to study . The most common subject is Medicine , followed by philosophy . The third most popular is literature followed by STEM .
T1AY[young people], T1AX[evening], XHIGHEST[watching TV], YHIGHEST[40], YLABEL[%], YSECOND[30], YUNIT[%], XSECOND[going out], YLEAST[10], YUNIT[%], XLEAST[read a book], MULTHIRDLEAST[double], XTHIRD[spending time with family]	Most young people spend their evening watching TV at 40 % doing this compared with 30 % going out . Only 10 % read a book with double that spending time with family .
T1AY[Women], T1AY[represented], YHIGHEST[70], YUNIT[%], XHIGHEST[Engineering], T1AB[Narvik], YLEASTAPPROX[20], YUNIT[%], T1AY[represented], XLEAST[literature]	Women are represented at 70 % for Engineering in Narvik , whereas only just over 20 % are represented in literature .
YLABEL[stock prices], T1AB[Akef Inc], YUNIT[£], YHIGHESTAPPROX[91], XHIGHEST[Monday], YLABEL[stock price], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday]	The stock prices of Akef Inc have declined as the week has progressed according to the chart . From a value of £ 91 on Monday , the stock price closed at £ 30 on Friday .
PLOTTITLE[Afek Inc's closing stock prices for the week], YUNIT[pound sterling], T1AY[stock], T1AX[week], YUNIT[£], YTHIRDAPPROX[50], XLABEL[day], XHIGHEST[Wednesday], YLABEL[price], YUNIT[£], YHIGHESTAPPROX[74/75], XLEAST[Friday], YLABEL[price], YUNIT[£], YLEASTAPPROX[10]	This graph shows Afek Inc's closing stock prices for the week , in pound sterling . The graph shows that the stock started the week at just over £ 50 , the best day was Wednesday where the price were approx. £ 74/75 and the worst was Friday were the price dropped significantly to just under £ 10 .
YLABEL[number of fatal injuries], T1AB[Pula steel factory], YSECOND[27], XSECOND[2012], YHIGHEST[32], XHIGHEST[2013], XTHIRD[2014], YTHIRD[26], YLEAST[22], XLEAST[2015], XFOURTH[2016], YFOURTH[25], YUNIT[injuries]	The number of fatal injuries at the Pula steel factory started at 27 in 2012 , this increased to 32 in 2013 . In 2014 this dropped back to 26 and then a further drop to 22 in 2015 . However in 2016 there was a slight increase to 25 injuries .
XHIGHEST[Fast food], XLABEL[cause of obesity], YHIGHEST[60], YUNIT[%], YLABEL[cases], MULHIGHESTSECOND[double], XLABEL[cause], XSECOND[genetic], YSECOND[30], YUNIT[%], MULHIGHESTLEAST[6 times], XLEAST[lack of exercise], YLEAST[10], YUNIT[%], YLABEL[cases]	Fast food is the highest cause of obesity with 60 % of cases . It is double the next highest cause - genetic on 30 % and 6 times lack of exercise which only causes 10 % of cases .
YLABEL[number of fatal injuries], T1AB[Pula Steel Factory], YSECOND[27], XSECOND[2012], YHIGHEST[32], XHIGHEST[2013], XHIGHEST[2013], YLABEL[fatal injuries], GRTHIRDLEAST[next two years], YTHIRD[26], XTHIRD[2014], YLEAST[22], XLEAST[2015], YFOURTH[25], XFOURTH[2016]	The number of fatal injuries at the Pula Steel Factory rose from 27 in 2012 to 32 in 2013 . Since 2013 , the fatal injuries declined during the next two years to 26 in 2014 and 22 in 2015 before rising again to 25 in 2016 .
GRYSECONDLEAST[slim majority of obesity], T1AB[Kiribati], T1AX[caused], GRSECONDLEAST[lifestyle choices], YLEASTAPPROX[24], YUNIT[%], T1AX[caused], XLEAST[fast food], YSECONDAPPROX[35], YUNIT[%], XSECOND[lack of exercise]	This chart shows the slim majority of obesity in Kiribati is caused by lifestyle choices , with 24 % caused by fast food and 35 % due to a lack of exercise .
PLOTTITLE[percentage of minority representation in the parliament of Libya], XSTART[from], XHIGHEST[1990], XEND[to], XFIFTH[2019], INTERVAL[four], XLABEL[years], YLABEL[percentage of minority], YHIGHESTAPPROX[13.5], YUNIT[%], XHIGHEST[1990], YLEASTAPPROX[6.5], YUNIT[%], XLEAST[2014], XFIFTH[From 2015-2019], YLABEL[minority representation], YFIFTHAPPROX[7], YUNIT[%]	The graph shows the percentage of minority representation in the parliament of Libya from 1990 to 2019 . Data has been recorded every four years . The percentage of minority has reduced significantly from 13.5 % in 1990 to 6.5 % in 2014 . From 2015-2019 the minority representation increased slightly to 7 % .
PLOTTITLE[Median Salarys of Women in Najar Per Year], XSTART[between], XLABEL[years], XSECOND[2000], XEND[-], XLEAST[2015], XLABEL[year], XSECOND[2000], YSECONDAPPROX[25], YMAG[,000], YHIGHESTAPPROX[25], YMAG[,000], XHIGHEST[2005], XTHIRD[2010], YTHIRDAPPROX[20], YMAG[,000], XLEAST[2015]	Here is a chart based on Median Salarys of Women in Najar Per Year between the years of 2000 - 2015 . \\n In the year 2000 it was holding at 25 ,000 , rising to just over 25 ,000 in 2005 . From 2010 it dropped dramatically to under 20 ,000 and again in 2015 .
PLOTTITLE[number of fatal injuries at the Pula Steel Factory], XSTART[between], XHIGHEST[2012], XEND[and], XLEAST[2016], YHIGHEST[30], YUNIT[fatal injuries], XHIGHEST[2012], YSECOND[25], XSECOND[2013], XTHIRD[2014], YTHIRD[16], YUNIT[fatal injuries], YLABEL[figure], XFOURTH[2015], YFOURTH[15], XLEAST[2016], YLABEL[figure], YLEAST[12]	This graph shows the number of fatal injuries at the Pula Steel Factory between 2012 and 2016 . There were 30 fatal injuries in 2012 , dropping to 25 in 2013 . In 2014 there was another decrease with 16 fatal injuries . The figure in 2015 dropped slightly to 15 and there was another drop in 2016 when the figure was 12 .
PLOTTITLE[how young people in Zarqa spend their evenings], T1AY[young people], T1AX[evenings], XHIGHEST[reading a book], YHIGHESTAPPROX[37], YUNIT[%], YSECOND[32], YUNIT[%], XSECOND[spend time with family], YTHIRDAPPROX[17], YUNIT[%], XTHIRD[go out], YLEAST[12], YUNIT[%], T1AX[evenings], XLEAST[watching TV]	This chart shows how young people in Zarqa spend their evenings . According to the chart , most young people spend their evenings reading a book - 37 % of them . Around 32 % of them spend time with family . 17 % of them go out and just 12 % spend their evenings watching TV .
PLOTTITLE[number of top 100 universities on each continent], XHIGHEST[America], YUNIT[number], YHIGHEST[50], XSECOND[europe], YSECOND[30], XTHIRD[Asia], YTHIRD[20], GRLEASTLEAST[Africa and Australia], GRYLEASTLEAST[5]	This graph shows the number of top 100 universities on each continent . America has the highest number with 50 , europe is next with 30 , Asia follows with 20 and then Africa and Australia have 5 each .
SLOPEX[5], XLABEL[years], T1AY[median], YLABEL[salary], T1AB[women], SLOPEY[2-3], YUNIT[%], SLOPEX[year]	The chart shows every 5 years the median salary of women is rising by about 2-3 % a year .
PLOTTITLE[average amount of minutes spent on social media daily , by age group], XHIGHEST[15-24 year age group], YLABEL[time on social media], YUNIT[minutes]	This chart shows the average amount of minutes spent on social media daily , by age group . It shows the 15-24 year age group spent the most time on social media , with a decrease in minutes for each acending age group .
PLOTTITLE[representation of minoroties in the parliament of Lybia], XHIGHEST[From 1990-1994], YHIGHESTAPPROX[14], YUNIT[%], T1AB[parliament], T1AY[minorities], YSECOND[12], YUNIT[%], XSECOND[from 1995-1999], YTHIRDAPPROX[9], YUNIT[%], XTHIRD[from 2000-2004], YFOURTHAPPROX[8], YUNIT[%], XFOURTH[2005-2009], YLEASTAPPROX[6], YUNIT[%], XLEAST[2010-2014], YFIFTHAPPROX[7], YUNIT[%], XFIFTH[from 2015-2019]	This chart describes the representation of minoroties in the parliament of Lybia . From 1990-1994 , almost 14 % of the parliament were minorities . This dropped to 12 % from 1995-1999 ; 9 % from 2000-2004 ; 8 % 2005-2009 ; 6 % 2010-2014 ; but rose to 7 % from 2015-2019 .
PLOTTITLE[gender pay gap], BARNAMES[Germany, Spain and the UK], YLABEL[gap], YLEAST[5], YUNIT[%], XLEAST[Germany], YSECOND[10], YUNIT[%], XSECOND[Spain], YHIGHESTAPPROX[14], YUNIT[%], XHIGHEST[UK]	This graph shows a gender pay gap in Germany, Spain and the UK . the gap is 5 % in Germany , 10 % in Spain and just over 14 % in the UK .
YLABEL[percentage], PLOTTITLE[students choosing different areas of university subjects], YHIGHEST[50], YUNIT[%], XHIGHEST[STEM-related subject], YSECOND[20], YUNIT[%], XSECOND[literature], YSECOND[20], YUNIT[%], XSECOND[medicine], YLEAST[10], YUNIT[%], XLEAST[philosophy]	This chart shows the percentage of students choosing different areas of university subjects . 50 % choose a STEM-related subject ; 20 % choose literature , 20 % choose medicine and only 10 % choose philosophy .
YLABEL[percentage of Minority Representation], T1AB[Parliament of Lybia], XHIGHEST[between 1990 and 1994], YHIGHESTAPPROX[13.6], YUNIT[%], XLEAST[between 2010 and 2014], YLEASTAPPROX[6.4], YUNIT[%], XFIFTH[between 2015 and 2019]	The percentage of Minority Representation in the Parliament of Lybia has seen a decrease over time . It started up high between 1990 and 1994 at 13.6 % and casually dropped to its lowest point between 2010 and 2014 at 6.4 % where it began to rise again between 2015 and 2019 .
YLABEL[amount], YMAG[millions], YUNIT[£], PLOTTITLE[money spent on higher education], COUNT[four], XLABEL[continents], XHIGHEST[Africa], YLABEL[amount], YUNIT[£], YHIGHESTAPPROX[290], YMAG[million], XLEAST[North America], YUNIT[£], YLEASTAPPROX[145], YMAG[million], MULLEASTHIGHEST[50], YUNIT[%], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[270], YMAG[million], XTHIRD[Asia], YUNIT[£], YTHIRDAPPROX[170], YMAG[million]	The chart shows the amount ( in millions , £ ) of money spent on higher education on four different continents . Africa spends the highest amount at £ 290 million and North America spends the least at £ 145 million - a difference of 50 % . Europe spends £ 270 million and Asia spends £ 170 million .
PLOTTITLE[gender pay gap], COUNT[3], T0AX[european], XLABEL[countries], YLABEL[pay gap], XLEAST[germany], YLEAST[5], YUNIT[%], XSECOND[spain], YSECOND[10], YUNIT[percent], XHIGHEST[uk], YLABEL[pay gap], YHIGHEST[15], YUNIT[%]	this chart shows the gender pay gap across 3 european countries , the lowest pay gap being germany with 5 % , spain with 10 percent and the uk having the biggest pay gap with 15 %
COUNT[three], XLABEL[causes of obesity], T1AB[Kiribati population], XLABEL[cause of obesity], XHIGHEST[genetic cause], YHIGHESTAPPROX[40], YUNIT[%], XLABEL[reason], YLEASTAPPROX[25], YUNIT[%], XLEAST[fast food]	This chart indicates three possible causes of obesity in the Kiribati population . It indicates the main cause of obesity was attributed to genetic cause with 40 % of the sample identifying that as the main reason . Only 25 % indicated fast food contributed to the problem .
PLOTTITLE[money spent on Higher Education in the Year 2010], XLABEL[different continents], YLABEL[money spent], XHIGHEST[Africa], YUNIT[£], YHIGHESTAPPROX[290], YMAG[,000,000], YLABEL[amount], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[270], YMAG[,000,000], YLABEL[amount of money], T1AY[Higher Education], T1AB[2010], XTHIRD[Asia], YUNIT[£], YTHIRD[175], YMAG[,000,000], YLABEL[amount], XLEAST[North America], YUNIT[£], YLEASTAPPROX[150], YMAG[,000,000]	This graph shows the money spent on Higher Education in the Year 2010 on different continents . The most money spent was in Africa where £ 290 ,000,000 was spent . The amount in Europe was a little lower at £ 270 ,000,000 . The amount of money spent on Higher Education in 2010 in Asia was £ 175 ,000,000 and the lowest amount was spent in North America , which was a little under £ 150 ,000,000 .
BARNAMES[Germany , Spain and the UK], YLABEL[gender pay gap], XLABEL[countries], YLABEL[Gender pay gap], XHIGHEST[Germany], YHIGHEST[21], YUNIT[%], XSECOND[UK], YSECONDAPPROX[between 20-21], YUNIT[%], XLEAST[Spain], ADDLEASTSECOND[5], YLEASTAPPROX[15], YUNIT[%]	This graph demonstrates the differences between Germany , Spain and the UK in terms of the gender pay gap in each of those countries . \\n The Gender pay gap was the largest in Germany at 21 % with the UK very close behind at between 20-21 % . \\n Spain is 5 % lower than this at 15 %
PLOTTITLE[number of fatal injuries at Pula Steel Factory], XHIGHEST[2012], YHIGHEST[30], YUNIT[fatalities], MULSECONDHIGHEST[16.6], YUNIT[%], XSECOND[2013], MULTHIRDSECOND[36], YUNIT[%], XTHIRD[2014], XFOURTH[2015], YLABEL[fatality number], ADDFOURTHTHIRD[1], XLEAST[2016], MULLEASTFOURTH[20], YUNIT[%], YLABEL[number of fatal injuries], INTERVAL[every year], XSTART[from], XHIGHEST[2012], XEND[to], XLEAST[2016], MULLEASTHIGHEST[60], YUNIT[%]	The chart shows the number of fatal injuries at Pula Steel Factory . In 2012 there was 30 fatalities . This decreased by 16.6 % by 2013 and then there was a massive drop of 36 % in 2014 . In 2015 the fatality number decreased by 1 and then in 2016 there was a further 20 % drop . \\n It is clear from the chart the number of fatal injuries have decreased every year and from 2012 to 2016 there was a 60 % decrease .
PLOTTITLE[minority representation in Parliament of Lybia], XHIGHEST[1990-1994], YLABEL[proportion], YHIGHESTAPPROX[13], YUNIT[%], XLEAST[2014], GRFIFTHLEAST[From 2010-2014 to 2015-2019], YLABEL[representation], ADDFIFTHLEAST[0.25], YUNIT[%]	The charts show the minority representation in Parliament of Lybia . 1990-1994 had the highest proportion at 13 % but there was a steady decrease until 2014 . From 2010-2014 to 2015-2019 there was an increase in representation by 0.25 %
PLOTTITLE[average time spent on social media daily in maputo by age group], XHIGHEST[younger age group of 15-24 years old], YLABEL[time], T1AY[social media], T1AY[averaging], YHIGHESTAPPROX[180], YUNIT[minutes], T1AY[days], YLABEL[time spent], XLEAST[55-64], YLEASTAPPROX[70], YUNIT[minutes], T1AY[day], T1AY[social media]	this chart demonstrates the average time spent on social media daily in maputo by age group . findings show that the younger age group of 15-24 years old spend the most time on social media , averaging 180 minutes a days . as the age range increases the time spent decreases , 55-64 only spending 70 minutes per day on social media
YLABEL[money], T1AY[higher education], COUNT[four], XLABEL[continents], T1AB[year 2010], XHIGHEST[Africa], YUNIT[£], YHIGHESTAPPROX[290], YMAG[million], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[270], YMAG[million], XTHIRD[Asia], YUNIT[£], YTHIRDAPPROX[170], YMAG[million], T1AB[2010], XLEAST[North America], YUNIT[£], YLEASTAPPROX[150], YMAG[million]	This chart shows how much money was spent on higher education by each of the four continents in the year 2010 . \\n Africa spent the most at around £ 290 million . Europe comes second in line with spending £ 270 million . Asia spent about £ 170 million in 2010 . North America spent the least with just under £ 150 million .
PLOTTITLE[what subjects students choose to study at Lagos State University], YLEAST[15], YUNIT[%], T1AX[choose], XLEAST[stem], XLABEL[subject], YTHIRDAPPROX[25], YUNIT[%], XTHIRD[literature], GRYHIGHESTSECOND[30], YUNIT[%], GRHIGHESTSECOND[philosophy and medicine], T1AX[choosing], XHIGHEST[medicine]	This chart shows what subjects students choose to study at Lagos State University . 15 % choose a stem subject , rising to almost 25 % studying literature , then around 30 % for both philosophy and medicine with slightly more choosing medicine .
YLABEL[women representation], XLABEL[various sectors], XHIGHEST[Insurance], YLABEL[representtation], YHIGHEST[65], YUNIT[%], XLEAST[law firms], YLEAST[35], YUNIT[%], ADDHIGHESTLEAST[30], YUNIT[%], XTHIRD[Financial groups], XEND[to], YTHIRD[50], YUNIT[%]	The charts show the women representation in various sectors . Insurance has the highest representtation at 65 % whereas law firms has the lowest at 35 % - a 30 % difference . Financial groups appear to have the most equal representation with 50 % .
PLOTTITLE[Akef Inc Closing share prices for the week], XTHIRD[Mon], XEND[to], XHIGHEST[Wed], YUNIT[£], YTHIRDAPPROX[50], XTHIRD[Monday], YUNIT[£], YHIGHESTAPPROX[72], XHIGHEST[Wednesday], YUNIT[£], YFOURTHAPPROX[21], XFOURTH[Thursday], YUNIT[£], YLEASTAPPROX[10], XLEAST[Friday]	This graph shows the Akef Inc Closing share prices for the week . They steadily climb Mon to Wed from just over £ 50 on Monday peaking at £ 72 on Wednesday . They then plummet to £ 21 on Thursday and fall again to just under £ 10 on Friday .
PLOTTITLE[median salary earned by women in Najaf per annum], XHIGHEST[2005], YLABEL[median salary], T1AY[median], YLABEL[amount], T0AY[earned], XLEAST[2015], YUNIT[£], ADDLEASTHIGHEST[10], YMAG[000], XHIGHEST[2005]	This chart represents the median salary earned by women in Najaf per annum . \\n \\n Whilst there was an increase in 2005 , since then the median salary is showing a downward trend , with the median amount earned in 2015 being £ 10 000 less than in 2005 .
YLABEL[stock prices], T1AB[Akef Inc], XHIGHEST[Monday], YLABEL[price], YUNIT[£], YHIGHESTAPPROX[92], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday]	This chart shows the steep decline in stock prices for Akef Inc during the course of the week . Opening on Monday , the price is at its peak of £ 92 , before dropping gradually over the week to an eventual low of £ 30 on the Friday .
PLOTTITLE[closing stock prices for akef Inc for the week], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[75], XSECOND[Tue], YUNIT[£], YSECONDAPPROX[60], XTHIRD[Mon], YUNIT[£], YTHIRDAPPROX[50], XFOURTH[Thursday], YUNIT[£], YFOURTHAPPROX[20], XLEAST[Fri], YUNIT[£], YLEASTAPPROX[10]	This chart shows closing stock prices for akef Inc for the week . The highest is Wednesday at £ 75 then Tue at £ 60 , then Mon at £ 50 then Thursday at £ 20 and lastly Fri at £ 10 .
PLOTTITLE[median salary of women per year], BARNAMES[2000, 2005, 2010 and 2015], T0AY[average], YLABEL[salary], T1AB[women]	This charts shows the median salary of women per year in 2000, 2005, 2010 and 2015 . The chart shows a trend of increasing average salary of women . However it doesn't show how this relates to inflation .
PLOTTITLE[weeks closing stock prices for Akef Inc], YUNIT[£], YHIGHESTAPPROX[90], XHIGHEST[Monday], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday], GRTHIRDFOURTH[between Wednesday and Thursday], GRYTHIRDFOURTH[60], YUNIT[£], YUNIT[£], YLEASTAPPROX[30], XLEAST[Friday]	This weeks closing stock prices for Akef Inc is shown in this graph . There has been a steady decline over the week from over £ 90 on Monday to around £ 30 on Friday . Things were looking more promising between Wednesday and Thursday where the decrease levelled off at 60 £ however a further decrease to £ 30 occurred by the close of Friday .
YLABEL[number], PLOTTITLE[women represented in different sectors], T1AY[represented], XHIGHEST[law firms], YHIGHEST[60], YUNIT[%], YSECOND[40], YUNIT[%], T1AY[represented], XSECOND[financial groups], YLEASTAPPROX[30], YUNIT[%], XTHIRD[insurance], YLEAST[20], YUNIT[%], XLEAST[tech]	The chart shows the number of women represented in different sectors . It shows us that they are most represented within law firms , at 60 % . They are 40 % represented within financial groups , just less than 30 % in insurance and only 20 % in tech .
YHIGHEST[50], YUNIT[%], T1AY[students], T1AY[study], XHIGHEST[STEM], GRYSECONDTHIRD[20], YUNIT[%], T1AY[study], GRSECONDTHIRD[literature and medicine], YLEAST[10], YUNIT[%], T1AX[choosing], T1AY[study], XLEAST[philosophy]	50 % of students choose to study STEM , 20 % each choose to study literature and medicine , with only 10 % choosing to study philosophy .
PLOTTITLE[the main causes of obesity], COUNT[3], XLABEL[areas], XLABEL[cause], XHIGHEST[intake of fast food], YHIGHEST[60], YUNIT[%], XLABEL[cause], XSECOND[genetics], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	The chart represents what the main causes of obesity are and the bar chart shows the following 3 areas . The largest cause is due to the intake of fast food . This contributes to 60 % of the cause . This is followed by genetics at 30 % and finally a lack of exercise at 10 % .
T1AB[Software Engineers], XHIGHEST[PhDs], BARSREST[counterparts], YLABEL[salaries], XLEAST[no degree], XTHIRD[bachelors], XLABEL[degree], XSECOND[masters], XLABEL[degree], YLABEL[salary], T1AB[Software Engineers], T1AY[per year]	This shows that Software Engineers with PhDs earn more than their counterparts . The lowest salaries are to those who have no degree , followed by a bachelors degree then a masters degree - therefore we can take from this graph that the higher the level of education , the higher the salary Software Engineers earn per year
PLOTTITLE[closing stock price in Pounds (£) of Akef Inc for the days of the week], YLABEL[price], T1AB[Akef Inc], XHIGHEST[Wednesday], YUNIT[£], YHIGHESTAPPROX[75], YLABEL[price], XLEAST[Friday], YUNIT[£], YLEASTAPPROX[9], XTHIRD[Monay], XSECOND[Tuesday], XHIGHEST[Wednesday], XFOURTH[Thursday], XLEAST[Friday]	This chart represents the closing stock price in Pounds (£) of Akef Inc for the days of the week . \\n \\n The highest price for Akef Inc is on Wednesday at £ 75 , the lowest price of the week is Friday at £ 9 which is a huge difference . \\n \\n The market appears to start off slowly on a Monay and gradually increases on Tuesday . It peaks on a Wednesday , it drops significantly on Thursday and a low on a Friday .
YLABEL[Median salary], XLABEL[year], T1AB[women], T1AB[Najaf], YLABEL[amount], XHIGHEST[2005], YUNIT[£], YHIGHESTAPPROX[26], YMAG[000], YUNIT[£], YSECONDAPPROX[22.5], YMAG[000], XLABEL[year], XSECOND[2000], XHIGHEST[2005], YUNIT[£], YTHIRDAPPROX[19.5], YMAG[000], XLABEL[year], XTHIRD[2010], YUNIT[£], YLEAST[16], YMAG[000], XLEAST[2015]	The Median salary per year of women in Najaf has been changing with the years , the highest amount was on 2005 , being this £ 26 000 , which was good sign of growing since it was around £ 22.5 000 in the year 2000 . Unfortunately instead of growing after 2005 , it actually decreased to nearly £ 19.5 000 by the year 2010 and it continued decreasing to £ 16 000 for the year 2015 . If this trend is to continue there were be a decrease in the following years .
XLABEL[cause of obesity], XHIGHEST[Fast food], YHIGHEST[60], YUNIT[%], XSECOND[Genetics], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	The table shows that the leading cause of obesity is Fast food ( 60 % ) , followed by Genetics ( 30 % ) and finally lack of exercise ( 10 % ) .
PLOTTITLE[amount of time spent daily on social media in Maputo by age group], YLABEL[amount of time], T1AY[daily], T1AY[social media], XLABEL[age group], XHIGHEST[15-24 years old], YLABEL[amount of time spent daily on social media in Maputo], T1AY[daily], T1AY[social media], T1AB[Maputo], XLABEL[group], XLEAST[55-64 years old]	This chart shows the amount of time spent daily on social media in Maputo by age group . \\n From the chart we see that the highest amount of time spent daily on social media is from the age group of 15-24 years old . We can see that there is a gradual decline of the amount of time spent daily on social media in Maputo spent daily on social media in Maputo with the increase in age , with the lowest group being 55-64 years old
YLABEL[amount of money], YMAG[millions], YUNIT[pounds sterling], T1AY[higher education], T1AB[2010], COUNT[4], XLABEL[continents], XHIGHEST[Africa], XSECOND[Europe], XTHIRD[Asia], XLEAST[North America]	The graph demonstrates the amount of money in millions of pounds sterling spent on higher education in 2010 in 4 different continents . \\n \\n Africa was the highest , then followed by Europe , then Asia and finally North America was the lowest .
YLABEL[Fatal injuries], T1AB[Pula Steel Factory], XSTART[from], XSECOND[2012], XEND[to], XFOURTH[2016], YMEAN[25], XHIGHEST[2013], YHIGHEST[32], XLEAST[2015], YLEAST[22]	Fatal injuries at the Pula Steel Factory have varied from 2012 to 2016 , averaging above 25 . Most was in 2013 at 32 , and least in 2015 at 22 .
